Order_ID;Row ID;Product_ID;Customer_ID;Order_Date;Ship_Date;Ship_Mode;Sales;Quantity;Discount;Profit
CA-2016-152156;1;FUR-BO-10001798;CG-12520;11/8/2016;11/11/2016;Second Class;261.96;2;0;41.9136
CA-2016-152156;2;FUR-CH-10000454;CG-12520;11/8/2016;11/11/2016;Second Class;731.94;3;0;219.582
CA-2016-138688;3;OFF-LA-10000240;DV-13045;6/12/2016;6/16/2016;Second Class;14.62;2;0;6.8714
US-2015-108966;4;FUR-TA-10000577;SO-20335;10/11/2015;10/18/2015;Standard Class;957.5775;5;0.45;-383.031
US-2015-108966;5;OFF-ST-10000760;SO-20335;10/11/2015;10/18/2015;Standard Class;22.368;2;0.2;2.5164
CA-2014-115812;6;FUR-FU-10001487;BH-11710;6/9/2014;6/14/2014;Standard Class;48.86;7;0;14.1694
CA-2014-115812;7;OFF-AR-10002833;BH-11710;6/9/2014;6/14/2014;Standard Class;7.28;4;0;1.9656
CA-2014-115812;8;TEC-PH-10002275;BH-11710;6/9/2014;6/14/2014;Standard Class;907.152;6;0.2;90.7152
CA-2014-115812;9;OFF-BI-10003910;BH-11710;6/9/2014;6/14/2014;Standard Class;18.504;3;0.2;5.7825
CA-2014-115812;10;OFF-AP-10002892;BH-11710;6/9/2014;6/14/2014;Standard Class;114.9;5;0;34.47
CA-2014-115812;11;FUR-TA-10001539;BH-11710;6/9/2014;6/14/2014;Standard Class;1706.184;9;0.2;85.3092
CA-2014-115812;12;TEC-PH-10002033;BH-11710;6/9/2014;6/14/2014;Standard Class;911.424;4;0.2;68.3568
CA-2017-114412;13;OFF-PA-10002365;AA-10480;4/15/2017;4/20/2017;Standard Class;15.552;3;0.2;5.4432
CA-2016-161389;14;OFF-BI-10003656;IM-15070;12/5/2016;12/10/2016;Standard Class;407.976;3;0.2;132.5922
US-2015-118983;15;OFF-AP-10002311;HP-14815;11/22/2015;11/26/2015;Standard Class;68.81;5;0.8;-123.858
US-2015-118983;16;OFF-BI-10000756;HP-14815;11/22/2015;11/26/2015;Standard Class;2.544;3;0.8;-3.816
CA-2014-105893;17;OFF-ST-10004186;PK-19075;11/11/2014;11/18/2014;Standard Class;665.88;6;0;13.3176
CA-2014-167164;18;OFF-ST-10000107;AG-10270;5/13/2014;5/15/2014;Second Class;55.5;2;0;9.99
CA-2014-143336;19;OFF-AR-10003056;ZD-21925;8/27/2014;9/1/2014;Second Class;8.56;2;0;2.4824
CA-2014-143336;20;TEC-PH-10001949;ZD-21925;8/27/2014;9/1/2014;Second Class;213.48;3;0.2;16.011
CA-2014-143336;21;OFF-BI-10002215;ZD-21925;8/27/2014;9/1/2014;Second Class;22.72;4;0.2;7.384
CA-2016-137330;22;OFF-AR-10000246;KB-16585;12/9/2016;12/13/2016;Standard Class;19.46;7;0;5.0596
CA-2016-137330;23;OFF-AP-10001492;KB-16585;12/9/2016;12/13/2016;Standard Class;60.34;7;0;15.6884
US-2017-156909;24;FUR-CH-10002774;SF-20065;7/16/2017;7/18/2017;Second Class;71.372;2;0.3;-1.0196
CA-2015-106320;25;FUR-TA-10000577;EB-13870;9/25/2015;9/30/2015;Standard Class;1044.63;3;0;240.2649
CA-2016-121755;26;OFF-BI-10001634;EH-13945;1/16/2016;1/20/2016;Second Class;11.648;2;0.2;4.2224
CA-2016-121755;27;TEC-AC-10003027;EH-13945;1/16/2016;1/20/2016;Second Class;90.57;3;0;11.7741
US-2015-150630;28;FUR-BO-10004834;TB-21520;9/17/2015;9/21/2015;Standard Class;3083.43;7;0.5;-1665.0522
US-2015-150630;29;OFF-BI-10000474;TB-21520;9/17/2015;9/21/2015;Standard Class;9.618;2;0.7;-7.0532
US-2015-150630;30;FUR-FU-10004848;TB-21520;9/17/2015;9/21/2015;Standard Class;124.2;3;0.2;15.525
US-2015-150630;31;OFF-EN-10001509;TB-21520;9/17/2015;9/21/2015;Standard Class;3.264;2;0.2;1.1016
US-2015-150630;32;OFF-AR-10004042;TB-21520;9/17/2015;9/21/2015;Standard Class;86.304;6;0.2;9.7092
US-2015-150630;33;OFF-BI-10001525;TB-21520;9/17/2015;9/21/2015;Standard Class;6.858;6;0.7;-5.715
US-2015-150630;34;OFF-AR-10001683;TB-21520;9/17/2015;9/21/2015;Standard Class;15.76;2;0.2;3.546
CA-2017-107727;35;OFF-PA-10000249;MA-17560;10/19/2017;10/23/2017;Second Class;29.472;3;0.2;9.9468
CA-2016-117590;36;TEC-PH-10004977;GH-14485;12/8/2016;12/10/2016;First Class;1097.544;7;0.2;123.4737
CA-2016-117590;37;FUR-FU-10003664;GH-14485;12/8/2016;12/10/2016;First Class;190.92;5;0.6;-147.963
CA-2015-117415;38;OFF-EN-10002986;SN-20710;12/27/2015;12/31/2015;Standard Class;113.328;9;0.2;35.415
CA-2015-117415;39;FUR-BO-10002545;SN-20710;12/27/2015;12/31/2015;Standard Class;532.3992;3;0.32;-46.9764
CA-2015-117415;40;FUR-CH-10004218;SN-20710;12/27/2015;12/31/2015;Standard Class;212.058;3;0.3;-15.147
CA-2015-117415;41;TEC-PH-10000486;SN-20710;12/27/2015;12/31/2015;Standard Class;371.168;4;0.2;41.7564
CA-2017-120999;42;TEC-PH-10004093;LC-16930;9/10/2017;9/15/2017;Standard Class;147.168;4;0.2;16.5564
CA-2016-101343;43;OFF-ST-10003479;RA-19885;7/17/2016;7/22/2016;Standard Class;77.88;2;0;3.894
CA-2017-139619;44;OFF-ST-10003282;ES-14080;9/19/2017;9/23/2017;Standard Class;95.616;2;0.2;9.5616
CA-2016-118255;45;TEC-AC-10000171;ON-18715;3/11/2016;3/13/2016;First Class;45.98;2;0;19.7714
CA-2016-118255;46;OFF-BI-10003291;ON-18715;3/11/2016;3/13/2016;First Class;17.46;2;0;8.2062
CA-2014-146703;47;OFF-ST-10001713;PO-18865;10/20/2014;10/25/2014;Second Class;211.96;4;0;8.4784
CA-2016-169194;48;TEC-AC-10002167;LH-16900;6/20/2016;6/25/2016;Standard Class;R45,00;3;0;4.95
CA-2016-169194;49;TEC-PH-10003988;LH-16900;6/20/2016;6/25/2016;Standard Class;21.8;2;0;6.104
CA-2015-115742;50;OFF-BI-10004410;DP-13000;4/18/2015;4/22/2015;Standard Class;38.22;6;0;17.9634
CA-2015-115742;51;OFF-LA-10002762;DP-13000;4/18/2015;4/22/2015;Standard Class;75.18;6;0;35.3346
CA-2015-115742;52;FUR-FU-10001706;DP-13000;4/18/2015;4/22/2015;Standard Class;6.16;2;0;2.9568
CA-2015-115742;53;FUR-CH-10003061;DP-13000;4/18/2015;4/22/2015;Standard Class;89.99;1;0;17.0981
CA-2016-105816;54;OFF-FA-10000304;JM-15265;12/11/2016;12/17/2016;Standard Class;15.26;7;0;6.2566
CA-2016-105816;55;TEC-PH-10002447;JM-15265;12/11/2016;12/17/2016;Standard Class;1029.95;5;0;298.6855
CA-2016-111682;56;OFF-ST-10000604;TB-21055;6/17/2016;6/18/2016;First Class;208.56;6;0;52.14
CA-2016-111682;57;OFF-PA-10001569;TB-21055;6/17/2016;6/18/2016;First Class;32.4;5;0;15.552
CA-2016-111682;58;FUR-CH-10003968;TB-21055;6/17/2016;6/18/2016;First Class;319.41;5;0.1;7.098
CA-2016-111682;59;OFF-PA-10000587;TB-21055;6/17/2016;6/18/2016;First Class;14.56;2;0;6.9888
CA-2016-111682;60;TEC-AC-10002167;TB-21055;6/17/2016;6/18/2016;First Class;R30,00;2;0;3.3
CA-2016-111682;61;OFF-BI-10001460;TB-21055;6/17/2016;6/18/2016;First Class;48.48;4;0.2;16.362
CA-2016-111682;62;OFF-AR-10001868;TB-21055;6/17/2016;6/18/2016;First Class;1.68;1;0;0.84
CA-2015-135545;63;TEC-AC-10004633;KM-16720;11/24/2015;11/30/2015;Standard Class;13.98;2;0;6.1512
CA-2015-135545;64;OFF-BI-10001078;KM-16720;11/24/2015;11/30/2015;Standard Class;25.824;6;0.2;9.3612
